paper_id,title,abstract,authors,authorids,keywords,primary_area,venue,year,pdf_url,forum_url,author_ids,submission_date
5Y8PMEeAkv,ZSPAPrune: Zero-Shot Prompt-Aware Token Pruning for Vision-Language Models,"As the capabilities of Vision-Language Models (VLMs) advance, they can process increasingly large inputs, which, unlike in LLMs, generates significant visual token redundancy and leads to prohibitive inference costs. While many methods aim to reduce these costs by pruning visual tokens, existing approaches, whether based on attention or diversity, typically neglect the guidance of the text prompt and thus fail to prioritize task relevance. In this work, we propose a novel, zero-shot method that reframes the problem by introducing a prompt-aware perspective, explicitly modeling visual token pruning as a balance between task relevance and information diversity. Our hierarchical approach first selects a core set of task-relevant visual tokens and then supplements them with diversity tokens to preserve broader context. Experiments across multiple models and benchmarks show that our method achieves performance that matches or surpasses the state-of-the-art with only minimal accuracy loss, even when pruning up to 90\% of the tokens. Furthermore, these gains are accompanied by significant reductions in GPU memory footprint and inference latency.",,,"VLM, Prompt-Aware, Zero-Shot, Visual token pruning","applications to computer vision, audio, language, and other modalities",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=5Y8PMEeAkv,https://openreview.net/forum?id=5Y8PMEeAkv,,
5ZaoXB3MdP,R-WoM: Retrieval-augmented World Model For Computer-use Agents,"Large Language Models (LLMs) can serve as world models to enhance agent decision-making in digital environments by simulating future states and predicting action outcomes, potentially eliminating costly trial-and-error exploration. However, this capability is fundamentally limited by LLM’s tendency to hallucination and their reliance on static training knowledge, which could lead to compounding errors that inhibit long-horizon simulations. To systematically investigate whether LLMs are appropriate for world modeling, we probe two core capabilities of world models – future state prediction and reward estimation – through three tasks: next-state identification, full-procedure planning alignment, and milestone transition recognition. Our analysis shows that while LLMs effectively capture immediate next states and identify meaningful state transitions, their performance rapidly degrades in full-procedure planning. This highlights LLMs’ limitations in reliably modeling environment dynamics over long horizons. To address these limitations, we propose the Retrieval-augmented World Model (R-WoM), which grounds LLM simulations by incorporating factual, up-to-date knowledge retrieved from external tutorials. Experiments show that R-WoM achieves substantial improvements of up to 25.3% (OSWorld) and 18.1% (WebArena) com-
pared to baselines, with particular advantage in longer-horizon simulations.",,,"Large Language Model, Computer-use Agent, World Model","applications to computer vision, audio, language, and other modalities",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=5ZaoXB3MdP,https://openreview.net/forum?id=5ZaoXB3MdP,,
601vEMLqie,DyPE: Dynamic Position Extrapolation for Ultra High Resolution Diffusion,"Diffusion Transformer models can generate images with remarkable fidelity and detail, yet training them at ultra-high resolutions remains extremely costly due to the self-attention mechanism's quadratic scaling with the number of image tokens. In this paper, we introduce Dynamic Position Extrapolation (DyPE), a novel, training-free method that enables pre-trained diffusion transformers to synthesize images at resolutions far beyond their training data, with no additional sampling cost. DyPE takes advantage of the spectral progression inherent to the diffusion process, where low-frequency structures converge early, while high-frequencies take more steps to resolve. Specifically, DyPE dynamically adjusts the model's positional encoding at each diffusion step, matching their frequency spectrum with the current stage of the generative process. This approach allows us to generate images at resolutions that exceed the training resolution dramatically, e.g., 16 million pixels using FLUX. On multiple benchmarks, DyPE consistently improves performance and achieves state-of-the-art fidelity in ultra-high-resolution image generation, with gains becoming even more pronounced at higher resolutions.",,,"Diffusion, Text to Image, High Resolution",generative models,ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=601vEMLqie,https://openreview.net/forum?id=601vEMLqie,,
6pmxBlGXyM,​Aligning Stance Dynamics in Foundation Dialogue Models: Towards Context-Aware Safety Control​,"Neural dialogue foundation models exhibit critical safety vulnerabilities by implicitly amplifying toxic discourse through contextual stance alignment. Current mitigation strategies fail to address the nuanced interplay between conversational dynamics and implicit harm. We propose a paradigm shift with three core contributions:
First, we introduce ​context-aware stance classifiers​ leveraging graph-based reasoning and contrastive learning. These models decode complex stance expressions—including sarcastic agreement and indirect bias—that perpetuate harmful echo chambers.
Second, we design ​dynamic safety controllers​ combining attribute-guided decoding with retrieval-augmented counter-speech generation. This hybrid approach steers foundation models toward constructive responses while preserving conversational integrity.
Third, we establish ​multidimensional harm metrics​ quantifying implicit biases across intersectional identities, moving beyond surface-level toxicity. Our framework pioneers joint optimization of stance neutrality, bias mitigation, and fluency preservation.
Validated against adversarial conversational contexts, our method demonstrates significant improvements in ethical alignment for generative dialogue systems. We open-source toolkit facilitates safer deployment of foundation language models.","Rong Fu, GUO XIAOYU, Simon James Fong","~Rong_Fu2, ~GUO_XIAOYU1, ~Simon_James_Fong2","Stance Alignment, Contextual Offensive Language, Controllable Text Generation, Neural Dialogue Safety, Foundation Models, Societal Impact","alignment, fairness, safety, privacy, and societal considerations",ICLR 2026 Conference Withdrawn Submission,2026,https://openreview.net/pdf?id=6pmxBlGXyM,https://openreview.net/forum?id=6pmxBlGXyM,,
7pgAwaq6Rx,RoboHiMan: A Hierarchical Evaluation Paradigm for Compositional Generalization in Long-Horizon Manipulation,"Enabling robots to flexibly schedule and compose learned skills for novel long-horizon manipulation under diverse perturbations remains a core challenge. Early explorations with end-to-end VLA models show limited success, as these models struggle to generalize beyond the training distribution. Hierarchical approaches, where high-level planners generate subgoals for low-level policies, bring certain improvements but still suffer under complex perturbations, revealing limited capability in skill composition. However, existing benchmarks primarily emphasize task completion in long-horizon settings, offering little insight into compositional generalization, robustness, and the interplay between planning and execution.
To systematically investigate these gaps, we propose RoboHiMan, a hierarchical evaluation paradigm for compositional generalization in long-horizon manipulation. RoboHiMan introduces HiMan-Bench, a benchmark of atomic and compositional tasks under diverse perturbations, supported by a multi-level training dataset for analyzing progressive data scaling, and proposes three evaluation paradigms (vanilla, decoupled, coupled) that probe the necessity of skill composition and reveal bottlenecks in hierarchical architectures.
Experiments highlight clear capability gaps across representative models and architectures, pointing to directions for advancing models better suited to real-world long-horizon manipulation tasks.
Anonymous project website: https://robohiman.github.io/.",,,"Compositional Generalization, Long-horizon Manipulation, Benchmarking Robotics","applications to robotics, autonomy, planning",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=7pgAwaq6Rx,https://openreview.net/forum?id=7pgAwaq6Rx,,
7QlJcWwd14,ReasonAudio: Semantic Reasoning and Temporal Synchrony in Video–Text-to-Audio Generation,"The rapid advancement of video-text-to-audio (VT2A) diffusion models has enabled unprecedented audio generation conditioned on video and text, yet two major challenges remain: following complex semantic descriptions and achieving robust audio–visual synchronization. In this work, we propose ReasonAudio, an MLLM-empowered flow-matching generative model with stronger semantic and robust temporal alignment. To enhance semantic understanding, we 1) address the scarcity of semantically rich tri-modal (video–text–audio) annotations by constructing VGGSound-Think, a dataset enriched with acoustic hints and audio–visual relation descriptions, and 2) leverage MLLMs to understand multimodal conditions (video and text) by introducing learnable queries that bridge understanding and generation components. To tackle temporal alignment, we employ preference optimization (Flow-DPO, Flow-RWR) with synchronization feedback, aligning generative models with visual synchrony preferences. Extensive experiments demonstrate that ReasonAudio achieves state-of-the-art performance in VT2A generation, with substantial improvements in both semantic alignment and temporal synchronization. Moreover, evaluations on VGGSound-Think show that our model excels at reasoning over acoustic hints and following descriptions of audio–visual relations (e.g., object interactions and on-/off-screen attribution). The demo page is available at https://ReasonAudio.github.io.",,,Multimodal Large Language Models; Video-to-Audio Generation; Preference Optimization;,"applications to computer vision, audio, language, and other modalities",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=7QlJcWwd14,https://openreview.net/forum?id=7QlJcWwd14,,
7qXmJbjbl8,Attribute-Centric Representation Learning for Interpretable Crime Scene Analysis in Video Anomaly Detection,"Automatic crime scene analysis is an important application area for representation learning in Video Anomaly Detection (VAD). Effective interpretation of anomalous events requires models to learn rich, disentangled representations that capture fine-grained, crime-relevant attributes. However, widely used VAD datasets (e.g., UCA, CUVA) primarily offer coarse event-level labels and they lack attribute-level supervision often needed for modeling crime-specific behaviors. To bridge this gap, we propose an attribute-centric learning framework that explicitly conditions video representations on crime-causing attributes. We extend the UCA dataset with over 1.5M new attribute-centric annotations generated using carefully designed prompts and LLMs. These annotations enable supervised fine-tuning of a curated CLIP-based model, leading to more discriminative, attribute-aware video representations, and precise event captions. An LLM-based summarizer then distills these captions into context-rich explanations, facilitating interpretable scene understanding. Our approach answers three core questions in crime scene analysis: \textbf{What? When? How?} Extensive experiments show that the proposed representation learning framework yields significant improvements ($\approx 20\%\uparrow$) in attribute-centric crime classification accuracy and ($\approx 6.4\%\uparrow$) according to MMEval scores over the baselines. We further analyze and mitigate biases in MMEval to ensure robustness and fair evaluation. These results highlight the importance of attribute-conditioned representation learning for interpretable and reliable VAD.",,,"Crime Scene Analysis, Video Anomaly Detection, Explainable AI, Visual Language Reasoning",interpretability and explainable AI,ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=7qXmJbjbl8,https://openreview.net/forum?id=7qXmJbjbl8,,
7WsivwyHrS,You Only Query Once: An Efficient Label-Only Membership Inference Attack,"As one of the privacy threats to machine learning models, the membership inference attack (MIA) tries to infer whether a given sample is in the original training set of a victim model by analyzing its outputs. Recent studies only use the predicted hard labels to achieve impressive membership inference accuracy. However, such label-only MIA approach requires very high query budgets to evaluate the distance of the target sample from the victim model's decision boundary.  
   We propose YOQO, a novel label-only attack to overcome the above limitation.YOQO aims at identifying a special area (called improvement area) around the target sample and crafting a query sample, whose hard label from the victim model can reliably reflect the target sample's membership. YOQO can successfully reduce the query budget from more than 1,000 times to only ONCE. Experiments demonstrate that YOQO is not only as effective as SOTA attack methods, but also performs comparably or even more robustly against many sophisticated defenses.","YUTONG WU, Han Qiu, Shangwei Guo, Jiwei Li, Tianwei Zhang","~YUTONG_WU3, ~Han_Qiu3, ~Shangwei_Guo1, ~Jiwei_Li1, ~Tianwei_Zhang1","Machine learning, Membership Inference Attack, Computer Vision","societal considerations including fairness, safety, privacy",ICLR 2024 poster,2024,https://openreview.net/pdf?id=7WsivwyHrS,https://openreview.net/forum?id=7WsivwyHrS,,
8FihPljvWf,Video-As-Prompt: Unified Semantic Control for Video Generation,"Unified, generalizable semantic control in video generation remains a critical open challenge. Existing methods either introduce artifacts by enforcing inappropriate pixel-wise priors from structure-based controls, or rely on non-generalizable, condition-specific finetuning or task-specific architectures. We introduce Video-As-Prompt (VAP), a new paradigm that reframes this problem as in-context generation. VAP leverages a reference video as a direct semantic prompt, guiding a frozen Video Diffusion Transformer (DiT) via a plug-and-play Mixture-of-Transformers (MoT) expert. This architecture prevents catastrophic forgetting and is guided by a temporally biased position embedding that eliminates spurious mapping priors for robust context retrieval. To power this approach and catalyze future research, we built VAP-Data, the largest dataset for this task with over 100K paired videos across 100 semantic conditions. As a single unified model, VAP sets a new state-of-the-art for open-source methods, achieving a 38.7\% user preference rate that rivals leading condition-specific commercial models. VAP's strong zero-shot generalization and support for various applications mark a significant advance toward general-purpose, controllable video generation.",,,"Video Generation, Controllable Video Generation, Video Dataset",generative models,ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=8FihPljvWf,https://openreview.net/forum?id=8FihPljvWf,,
8mal7Q96Fc,Mitigating Classifier Dimensional Collapse via Random Masking in Federated Linear Probing,"Integrating a pre-trained model into federated learning (FL) is an emergent direction to facilitate the industrial deployment. Federated linear probing (FLP) is a practical paradigm that gains the communication efficiency from FL and generalization from pre-trained model, while still suffering from dimensional collapse that undermines its effectiveness. Dimensional collapse, originating from data heterogeneity, challenges the embedding space construction in FL, leading to suboptimal convergence and generalization. With a generalized frozen embedding extractor, FLP seems to be robust against dimensional collapse. However, in this paper, we emphasize that the dimensional collapse can also be represented in classifier construction, affecting the performance of the model. We propose FedRM to solve this problem, which randomly masks the dimension of the embedding and the classifier during the training to enforce the classifier to focus fairly on each dimension, guaranteeing diversity during decision generation. The simplicity of the method retains the communication efficiency of the FLP. We conduct empirical experiments to comprehensively evaluate the performance of FedRM. The results show FedRM achieves an overwhelming trade-off between efficiency and utility.",,,"federated learning, data heterogeneity, dimensional collapse, pre-trained model","other topics in machine learning (i.e., none of the above)",ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=8mal7Q96Fc,https://openreview.net/forum?id=8mal7Q96Fc,,
90UhF7e8jo,Goal Achievement Guided Exploration: Mitigating Premature Convergence in Reinforcement Learning,"Premature convergence to suboptimal policies remains a significant challenge in reinforcement learning (RL), particularly in tasks with sparse rewards or non-convex reward landscapes. Existing work usually utilizes reward shaping, such as curiosity-based internal rewards, to encourage exploring promising spaces. However, this may inadvertently introduce new local optima and impair the optimization for the actual target reward. To address this issue, we propose Goal Achievement Guided Exploration (GAGE), a novel approach that incorporates an agent's goal achievement as a dynamic criterion for balancing exploration and exploitation. GAGE adaptively adjusts the exploitation level based on the agent's current performance relative to an estimated optimal performance, thereby mitigating premature convergence. Extensive evaluations demonstrate that GAGE substantially improves learning outcomes across various challenging tasks by adapting convergence based on task success. Applicable to both continuous and discrete tasks, GAGE seamlessly integrates into existing RL frameworks, highlighting its potential as a versatile tool for enhancing exploration strategies in RL.","Shengchao Yan, Baohe Zhang, Joschka Boedecker, Wolfram Burgard","~Shengchao_Yan1, ~Baohe_Zhang1, ~Joschka_Boedecker1, ~Wolfram_Burgard3","reinforcement learning, exploration, deep reinforcement learning",reinforcement learning,Submitted to ICLR 2025,2025,https://openreview.net/pdf?id=90UhF7e8jo,https://openreview.net/forum?id=90UhF7e8jo,,
AEszIYnVos,NECromancer: Breathing Life into Skeletons via BVH Animation,"Motion tokenization is fundamental to the development of generalizable motion models, yet existing approaches remain restricted to species-specific skeletons, such as humans, thereby limiting their applicability across diverse morphologies. We present NECromancer (NEC), a universal motion tokenizer designed to operate on arbitrary BVH skeletons. NEC is built upon three core components: (1) an
Ontology-aWare Skeletal Graph EncOder (OwO), which leverages graph neural networks to encode structural priors extracted from BVH files—including joint-name semantics, rest-pose offsets, and skeletal topology—into robust skeletal embeddings; (2) a Topology-Agnostic Tokenizer (TAT), which compresses motion sequences into a universal, topology–invariant latent representation, thereby decoupling motion dynamics from morphology; and (3) the Unified BVH Universe (UvU), a large-scale dataset that consolidates BVH motions across heterogeneous skeletons (humans, quadrupeds, and other species), enabling systematic training and evaluation under diverse morphologies. Experimental results demonstrate that NEC achieves high-fidelity motion reconstruction with substantial compression, while effectively disentangling motion from skeletal structure. This capability supports a broad range of downstream tasks, including cross-species motion transfer, motion composition, denoising, generation (plug-and-play with any token-based generator; e.g., MoMask) and motion–text retrieval (via an OwO-based CLIP variant). By grounding motion representation in BVH animation while removing species-specific constraints, NEC establishes a principled framework for universal motion analysis and synthesis across varied morphologies.",,,Motion tokenization，Motion Generation，BVH Animation，Skeletal-Invariant Representation，Cross-Species Motion Transfer，Motion Compression,generative models,ICLR 2026 Conference Submission,2026,https://openreview.net/pdf?id=AEszIYnVos,https://openreview.net/forum?id=AEszIYnVos,,
