S. No,Paper_ID,Forum_URL,Review(Metadata),Reviwer_ID,Low_Confidence_Strong_Judgment,Vague_Criticism_Without_References,Harsh_Language_Without_Justification,One-Sided_Review,Missing_Citation_For_Prior_Work_Claims,Overfocus_on_Minor_Issues,Non-Actionable_Feedback,Short_Review_Length_Strong_Decision,Bias_label,Reason,Comment
40,SDV7Y6Dhx9,https://openreview.net/forum?id=SDV7Y6Dhx9,ICLR.cc/2025/Conference/Submission929/Reviewer_MCxt,MCxt,,,,,,,,,,,
41,KYxxSgwRxf,https://openreview.net/forum?id=KYxxSgwRxf,ICLR.cc/2025/Conference/Submission3575/Reviewer_6adS,6adS,,,,,,,,,,,
42,UMfcdRIotC,https://openreview.net/forum?id=UMfcdRIotC,ICLR.cc/2024/Conference/Submission1870/Reviewer_32rU,32rU,,,,,,,,,,,
43,l0tg0jzsdL,https://openreview.net/forum?id=l0tg0jzsdL,ICLR.cc/2025/Conference/Submission5802/Reviewer_sUqe,sUqe,,,,,,,,,,,
44,iTm4H6N4aG,https://openreview.net/forum?id=iTm4H6N4aG,ICLR.cc/2025/Conference/Submission4489/Reviewer_Jqzc,Jqzc,,,,,,,,,,,
45,likXVjmh3E,https://openreview.net/forum?id=likXVjmh3E,ICLR.cc/2024/Conference/Submission2990/Reviewer_F9Xm,F9Xm,,,,,,,,,,,
46,TgeVptDYAt,https://openreview.net/forum?id=TgeVptDYAt,ICLR.cc/2024/Conference/Submission1441/Reviewer_BTeh,BTeh,,,,,,,,,,,
47,jNmsuEE4Gf,https://openreview.net/forum?id=jNmsuEE4Gf,ICLR.cc/2025/Conference/Submission13096/Reviewer_JbwN,JbwN,,,,,,,,,,,
48,R3Tf7LDdX4,https://openreview.net/forum?id=R3Tf7LDdX4,ICLR.cc/2024/Conference/Submission3971/Reviewer_kyQU,kyQU,,,,,,,,,,,
49,o0oroLuPLZ,https://openreview.net/forum?id=o0oroLuPLZ,ICLR.cc/2024/Conference/Submission4549/Reviewer_pKJU,pKJU,,,,,,,,,,,
50,NnwDdPDwUq,https://openreview.net/forum?id=NnwDdPDwUq,ICLR.cc/2025/Conference/Submission7954/Reviewer_mwci,mwci,,,,,,,,,,,
51,ZuYvrjh2od,https://openreview.net/forum?id=ZuYvrjh2od,ICLR.cc/2024/Conference/Submission3580/Reviewer_3n83,3n83,,,,,,,,,,,
52,iTm4H6N4aG,https://openreview.net/forum?id=iTm4H6N4aG,ICLR.cc/2025/Conference/Submission4489/Reviewer_FpQ7,FpQ7,,,,,,,,,,,
53,WoPovNkM5h,https://openreview.net/forum?id=WoPovNkM5h,ICLR.cc/2025/Conference/Submission7591/Reviewer_m9i1,m9i1,,,,,,,,,,,
54,oOSeOEXrFA,https://openreview.net/forum?id=oOSeOEXrFA,ICLR.cc/2025/Conference/Submission6125/Reviewer_K4oq,K4oq,,,,,,,,,,,
55,NnwDdPDwUq,https://openreview.net/forum?id=NnwDdPDwUq,ICLR.cc/2025/Conference/Submission7954/Reviewer_V8Dc,V8Dc,,,,,,,,,,,
56,ZuYvrjh2od,https://openreview.net/forum?id=ZuYvrjh2od,ICLR.cc/2024/Conference/Submission3580/Reviewer_mogP,mogP,,,,,,,,,,,
57,MK7TEe7SJ3,https://openreview.net/forum?id=MK7TEe7SJ3,ICLR.cc/2024/Conference/Submission5087/Reviewer_yHrZ,yHrZ,,,,,,,,,,,
58,gmHtBH8Fnp,https://openreview.net/forum?id=gmHtBH8Fnp,ICLR.cc/2024/Conference/Submission1268/Reviewer_yjBg,yjBg,,,,,,,,,,,
59,hgvERMkXOx,https://openreview.net/forum?id=hgvERMkXOx,ICLR.cc/2025/Conference/Submission3752/Reviewer_zDKg,zDKg,,,,,,,,,,,
60,vyHFTsOUWu,https://openreview.net/forum?id=vyHFTsOUWu,ICLR.cc/2025/Conference/Submission5056/Reviewer_Pxjk,Pxjk,,,,,,,,,,,
61,f3g5XpL9Kb,https://openreview.net/forum?id=f3g5XpL9Kb,ICLR.cc/2024/Conference/Submission8433/Reviewer_bVwZ,bVwZ,,,,,,,,,,,
62,KZEqbwJfTl,https://openreview.net/forum?id=KZEqbwJfTl,ICLR.cc/2025/Conference/Submission5313/Reviewer_gfkp,gfkp,,,,,,,,,,,
63,7rq2OzkJg3,https://openreview.net/forum?id=7rq2OzkJg3,ICLR.cc/2025/Conference/Submission9285/Reviewer_AY6u,AY6u,,,,,,,,,,,
64,UoYxPYMUWd,https://openreview.net/forum?id=UoYxPYMUWd,ICLR.cc/2025/Conference/Submission5683/Reviewer_aeZA,aeZA,,,,,,,,,,,
65,HwQ8NVvdmm,https://openreview.net/forum?id=HwQ8NVvdmm,ICLR.cc/2024/Conference/Submission1996/Reviewer_ZGvQ,ZGvQ,,,,,,,,,,,
66,HDbKLu0bkn,https://openreview.net/forum?id=HDbKLu0bkn,ICLR.cc/2024/Conference/Submission3476/Reviewer_yqeu,yqeu,,,,,,,,,,,
67,sTllbUNLz0,https://openreview.net/forum?id=sTllbUNLz0,ICLR.cc/2025/Conference/Submission11399/Reviewer_mqMK,mqMK,,,,,,,,,,,
68,hkWHdI8ss5,https://openreview.net/forum?id=hkWHdI8ss5,ICLR.cc/2024/Conference/Submission154/Reviewer_dbEu,dbEu,,,,,,,,,,,
69,TKRIRI9tQv,https://openreview.net/forum?id=TKRIRI9tQv,ICLR.cc/2025/Conference/Submission591/Reviewer_hKKD,hKKD,,,,,,,,,,,
70,6AUzsrsNUx,https://openreview.net/forum?id=6AUzsrsNUx,ICLR.cc/2025/Conference/Submission4270/Reviewer_vUAy,vUAy,,,,,,,,,,,
71,hUdLs6TqZL,https://openreview.net/forum?id=hUdLs6TqZL,ICLR.cc/2025/Conference/Submission3519/Reviewer_76RN,76RN,,,,,,,,,,,
72,K2jOacHUlO,https://openreview.net/forum?id=K2jOacHUlO,ICLR.cc/2025/Conference/Submission8980/Reviewer_UYZY,UYZY,,,,,,,,,,,
73,k03mB41vyM,https://openreview.net/forum?id=k03mB41vyM,ICLR.cc/2025/Conference/Submission5985/Reviewer_szvU,szvU,,,,,,,,,,,
74,324zEJCo3a,https://openreview.net/forum?id=324zEJCo3a,ICLR.cc/2024/Conference/Submission5259/Reviewer_qXuS,qXuS,,,,,,,,,,,
75,5j6wtOO6Fk,https://openreview.net/forum?id=5j6wtOO6Fk,ICLR.cc/2024/Conference/Submission5369/Reviewer_5ii1,5ii1,,,,,,,,,,,
76,vnKf1jG5eK,https://openreview.net/forum?id=vnKf1jG5eK,ICLR.cc/2024/Conference/Submission2632/Reviewer_Sp3b,Sp3b,,,,,,,,,,,
77,kBVPD2kJMy,https://openreview.net/forum?id=kBVPD2kJMy,ICLR.cc/2025/Conference/Submission9628/Reviewer_Z88Q,Z88Q,,,,,,,,,,,
78,jNmsuEE4Gf,https://openreview.net/forum?id=jNmsuEE4Gf,ICLR.cc/2025/Conference/Submission13096/Reviewer_rjPm,rjPm,,,,,,,,,,,
79,NA2vUMaMOm,https://openreview.net/forum?id=NA2vUMaMOm,ICLR.cc/2025/Conference/Submission7997/Reviewer_aeE5,aeE5,,,,,,,,,,,
80,762u1p9dgg,https://openreview.net/forum?id=762u1p9dgg,ICLR.cc/2025/Conference/Submission11276/Reviewer_f7Xh,f7Xh,,,,,,,,,,,
81,CI5Cj0vktS,https://openreview.net/forum?id=CI5Cj0vktS,ICLR.cc/2025/Conference/Submission11104/Reviewer_MXNH,MXNH,,,,,,,,,,,
82,AMDKqZcZbi,https://openreview.net/forum?id=AMDKqZcZbi,ICLR.cc/2024/Conference/Submission6292/Reviewer_3WUm,3WUm,,,,,,,,,,,
83,N0ts5QGEW9,https://openreview.net/forum?id=N0ts5QGEW9,ICLR.cc/2025/Conference/Submission425/Reviewer_cvhC,cvhC,,,,,,,,,,,
84,CjXaMI2kUH,https://openreview.net/forum?id=CjXaMI2kUH,ICLR.cc/2025/Conference/Submission10094/Reviewer_86n7,86n7,,,,,,,,,,,
85,2HN97iDvHz,https://openreview.net/forum?id=2HN97iDvHz,ICLR.cc/2025/Conference/Submission13409/Reviewer_vdc1,vdc1,,,,,,,,,,,
86,T1Y2KmVtUn,https://openreview.net/forum?id=T1Y2KmVtUn,ICLR.cc/2024/Conference/Submission7246/Reviewer_9y41,9y41,,,,,,,,,,,
87,P6PPBq8K2B,https://openreview.net/forum?id=P6PPBq8K2B,ICLR.cc/2024/Conference/Submission2812/Reviewer_1VLd,1VLd,,,,,,,,,,,
88,PD8JVDg8mB,https://openreview.net/forum?id=PD8JVDg8mB,ICLR.cc/2025/Conference/Submission13043/Reviewer_tkoo,tkoo,,,,,,,,,,,
89,kFoJXqiGKz,https://openreview.net/forum?id=kFoJXqiGKz,ICLR.cc/2025/Conference/Submission9743/Reviewer_Z9ie,Z9ie,,,,,,,,,,,
90,flgrH5nK4H,https://openreview.net/forum?id=flgrH5nK4H,ICLR.cc/2025/Conference/Submission4541/Reviewer_t1Dw,t1Dw,,,,,,,,,,,
91,cLIvvqf3Wk,https://openreview.net/forum?id=cLIvvqf3Wk,ICLR.cc/2024/Conference/Submission5033/Reviewer_28JC,28JC,,,,,,,,,,,
92,ZuYvrjh2od,https://openreview.net/forum?id=ZuYvrjh2od,ICLR.cc/2024/Conference/Submission3580/Reviewer_cerW,cerW,,,,,,,,,,,
93,V2cBKtdC3a,https://openreview.net/forum?id=V2cBKtdC3a,ICLR.cc/2024/Conference/Submission8675/Reviewer_nFUx,nFUx,,,,,,,,,,,
94,jDpdQPMosW,https://openreview.net/forum?id=jDpdQPMosW,ICLR.cc/2025/Conference/Submission4923/Reviewer_BCYB,BCYB,,,,,,,,,,,
95,DumcCxxzka,https://openreview.net/forum?id=DumcCxxzka,ICLR.cc/2025/Conference/Submission4342/Reviewer_Lp2j,Lp2j,,,,,,,,,,,
96,H1nykRhieN,https://openreview.net/forum?id=H1nykRhieN,ICLR.cc/2025/Conference/Submission13669/Reviewer_YGbW,YGbW,,,,,,,,,,,
97,BC4AUywMow,https://openreview.net/forum?id=BC4AUywMow,ICLR.cc/2024/Conference/Submission3753/Reviewer_Msao,Msao,,,,,,,,,,,
98,Uhxtq4nCzS,https://openreview.net/forum?id=Uhxtq4nCzS,ICLR.cc/2024/Conference/Submission6092/Reviewer_7Ltc,7Ltc,,,,,,,,,,,
99,iTm4H6N4aG,https://openreview.net/forum?id=iTm4H6N4aG,ICLR.cc/2025/Conference/Submission4489/Reviewer_BPUN,BPUN,,,,,,,,,,,
100,likXVjmh3E,https://openreview.net/forum?id=likXVjmh3E,ICLR.cc/2024/Conference/Submission2990/Reviewer_U2Yh,U2Yh,,,,,,,,,,,
101,5ES5Hdlbxw,https://openreview.net/forum?id=5ES5Hdlbxw,ICLR.cc/2024/Conference/Submission8925/Reviewer_1dWJ,1dWJ,,,,,,,,,,,
102,Abr7dU98ME,https://openreview.net/forum?id=Abr7dU98ME,ICLR.cc/2024/Conference/Submission8383/Reviewer_BuBQ,BuBQ,,,,,,,,,,,
103,8ishA3LxN8,https://openreview.net/forum?id=8ishA3LxN8,ICLR.cc/2024/Conference/Submission1937/Reviewer_zMky,zMky,,,,,,,,,,,
104,PDgZ3rvqHn,https://openreview.net/forum?id=PDgZ3rvqHn,ICLR.cc/2025/Conference/Submission4550/Reviewer_VdNA,VdNA,,,,,,,,,,,
105,vzvCaYFTLq,https://openreview.net/forum?id=vzvCaYFTLq,ICLR.cc/2024/Conference/Submission2085/Reviewer_5U84,5U84,,,,,,,,,,,
106,yJduhi9mDQ,https://openreview.net/forum?id=yJduhi9mDQ,ICLR.cc/2025/Conference/Submission11195/Reviewer_DV51,DV51,,,,,,,,,,,
107,85Af6AcMo5,https://openreview.net/forum?id=85Af6AcMo5,ICLR.cc/2024/Conference/Submission4270/Reviewer_MTm2,MTm2,,,,,,,,,,,
108,7gUrYE50Rb,https://openreview.net/forum?id=7gUrYE50Rb,ICLR.cc/2024/Conference/Submission5897/Reviewer_9x3E,9x3E,,,,,,,,,,,
109,IBOeJJUYaC,https://openreview.net/forum?id=IBOeJJUYaC,ICLR.cc/2025/Conference/Submission1291/Reviewer_w7nQ,w7nQ,,,,,,,,,,,
110,jNmsuEE4Gf,https://openreview.net/forum?id=jNmsuEE4Gf,ICLR.cc/2025/Conference/Submission13096/Reviewer_Tw8f,Tw8f,,,,,,,,,,,
111,zNVefjN3EP,https://openreview.net/forum?id=zNVefjN3EP,ICLR.cc/2025/Conference/Submission14115/Reviewer_NaUT,NaUT,,,,,,,,,,,
112,OATPSB5JK1,https://openreview.net/forum?id=OATPSB5JK1,ICLR.cc/2025/Conference/Submission6179/Reviewer_LGd6,LGd6,,,,,,,,,,,
113,NGVljI6HkR,https://openreview.net/forum?id=NGVljI6HkR,ICLR.cc/2024/Conference/Submission6536/Reviewer_acX2,acX2,,,,,,,,,,,
114,JDiER86r8v,https://openreview.net/forum?id=JDiER86r8v,ICLR.cc/2025/Conference/Submission2429/Reviewer_dwRW,dwRW,,,,,,,,,,,
115,w0389y0W9D,https://openreview.net/forum?id=w0389y0W9D,ICLR.cc/2025/Conference/Submission8654/Reviewer_UxAp,UxAp,,,,,,,,,,,
116,flgrH5nK4H,https://openreview.net/forum?id=flgrH5nK4H,ICLR.cc/2025/Conference/Submission4541/Reviewer_BVXz,BVXz,,,,,,,,,,,
117,mAztx8QO3B,https://openreview.net/forum?id=mAztx8QO3B,ICLR.cc/2025/Conference/Submission1231/Reviewer_kUqK,kUqK,,,,,,,,,,,
118,oOSeOEXrFA,https://openreview.net/forum?id=oOSeOEXrFA,ICLR.cc/2025/Conference/Submission6125/Reviewer_Qy7Q,Qy7Q,,,,,,,,,,,
119,8ishA3LxN8,https://openreview.net/forum?id=8ishA3LxN8,ICLR.cc/2024/Conference/Submission1937/Reviewer_fsTh,fsTh,,,,,,,,,,,
120,xE5ZaZGqBW,https://openreview.net/forum?id=xE5ZaZGqBW,ICLR.cc/2025/Conference/Submission11290/Reviewer_CVgV,CVgV,,,,,,,,,,,
121,yJduhi9mDQ,https://openreview.net/forum?id=yJduhi9mDQ,ICLR.cc/2025/Conference/Submission11195/Reviewer_Xyzj,Xyzj,,,,,,,,,,,
122,zOjW6yVYkE,https://openreview.net/forum?id=zOjW6yVYkE,ICLR.cc/2024/Conference/Submission251/Reviewer_m7w3,m7w3,,,,,,,,,,,
123,DumcCxxzka,https://openreview.net/forum?id=DumcCxxzka,ICLR.cc/2025/Conference/Submission4342/Reviewer_WYDo,WYDo,,,,,,,,,,,
124,ZiYdjVDgYY,https://openreview.net/forum?id=ZiYdjVDgYY,ICLR.cc/2024/Conference/Submission6699/Reviewer_xjMG,xjMG,,,,,,,,,,,
125,5cYTAcZAgt,https://openreview.net/forum?id=5cYTAcZAgt,ICLR.cc/2025/Conference/Submission1825/Reviewer_TbBy,TbBy,,,,,,,,,,,
126,MKP1g8wU0P,https://openreview.net/forum?id=MKP1g8wU0P,ICLR.cc/2025/Conference/Submission7312/Reviewer_UD1B,UD1B,,,,,,,,,,,
127,mqKVe6F3Up,https://openreview.net/forum?id=mqKVe6F3Up,ICLR.cc/2025/Conference/Submission3969/Reviewer_j9z4,j9z4,,,,,,,,,,,
128,VZC9aJoI6a,https://openreview.net/forum?id=VZC9aJoI6a,ICLR.cc/2025/Conference/Submission13599/Reviewer_hKKu,hKKu,,,,,,,,,,,
129,gmHtBH8Fnp,https://openreview.net/forum?id=gmHtBH8Fnp,ICLR.cc/2024/Conference/Submission1268/Reviewer_uTPu,uTPu,,,,,,,,,,,
130,yJduhi9mDQ,https://openreview.net/forum?id=yJduhi9mDQ,ICLR.cc/2025/Conference/Submission11195/Reviewer_9LMP,9LMP,,,,,,,,,,,
131,PpYy0dR3Qw,https://openreview.net/forum?id=PpYy0dR3Qw,ICLR.cc/2025/Conference/Submission363/Reviewer_1VVx,1VVx,,,,,,,,,,,
132,mqKVe6F3Up,https://openreview.net/forum?id=mqKVe6F3Up,ICLR.cc/2025/Conference/Submission3969/Reviewer_VAFb,VAFb,,,,,,,,,,,
133,gnWk0ZF22j,https://openreview.net/forum?id=gnWk0ZF22j,ICLR.cc/2025/Conference/Submission12330/Reviewer_wx1o,wx1o,,,,,,,,,,,
134,DumcCxxzka,https://openreview.net/forum?id=DumcCxxzka,ICLR.cc/2025/Conference/Submission4342/Reviewer_DDzf,DDzf,,,,,,,,,,,
135,o9ewXD1JuB,https://openreview.net/forum?id=o9ewXD1JuB,ICLR.cc/2025/Conference/Submission6118/Reviewer_oqAV,oqAV,,,,,,,,,,,
136,VEqPDZIDAh,https://openreview.net/forum?id=VEqPDZIDAh,ICLR.cc/2025/Conference/Submission1191/Reviewer_Q4Jg,Q4Jg,,,,,,,,,,,
137,wdzCyr1stL,https://openreview.net/forum?id=wdzCyr1stL,ICLR.cc/2025/Conference/Submission8376/Reviewer_U8d2,U8d2,,,,,,,,,,,
138,UhKkWHkvfg,https://openreview.net/forum?id=UhKkWHkvfg,ICLR.cc/2025/Conference/Submission6741/Reviewer_oE3Z,oE3Z,,,,,,,,,,,
139,auUngos7eR,https://openreview.net/forum?id=auUngos7eR,ICLR.cc/2024/Conference/Submission6002/Reviewer_zJkz,zJkz,,,,,,,,,,,
140,xmQuUqSynb,https://openreview.net/forum?id=xmQuUqSynb,ICLR.cc/2024/Conference/Submission3049/Reviewer_dMF7,dMF7,,,,,,,,,,,
141,mt5NPvTp5a,https://openreview.net/forum?id=mt5NPvTp5a,ICLR.cc/2024/Conference/Submission3527/Reviewer_DnDW,DnDW,,,,,,,,,,,
142,rUH2EDpToF,https://openreview.net/forum?id=rUH2EDpToF,ICLR.cc/2024/Conference/Submission7731/Reviewer_sWKU,sWKU,,,,,,,,,,,
143,HeNuL50C60,https://openreview.net/forum?id=HeNuL50C60,ICLR.cc/2024/Conference/Submission2549/Reviewer_7drN,7drN,,,,,,,,,,,
144,w0389y0W9D,https://openreview.net/forum?id=w0389y0W9D,ICLR.cc/2025/Conference/Submission8654/Reviewer_ngBn,ngBn,,,,,,,,,,,
145,jolYuxpVn1,https://openreview.net/forum?id=jolYuxpVn1,ICLR.cc/2024/Conference/Submission3682/Reviewer_wbTV,wbTV,,,,,,,,,,,
146,vxzRcFd837,https://openreview.net/forum?id=vxzRcFd837,ICLR.cc/2024/Conference/Submission897/Reviewer_8ujZ,8ujZ,,,,,,,,,,,
147,SMlVEeoSyI,https://openreview.net/forum?id=SMlVEeoSyI,ICLR.cc/2025/Conference/Submission2470/Reviewer_gT1y,gT1y,,,,,,,,,,,
148,PqGPjts7Ug,https://openreview.net/forum?id=PqGPjts7Ug,ICLR.cc/2024/Conference/Submission1258/Reviewer_dEtx,dEtx,,,,,,,,,,,
149,VZC9aJoI6a,https://openreview.net/forum?id=VZC9aJoI6a,ICLR.cc/2025/Conference/Submission13599/Reviewer_SXFP,SXFP,,,,,,,,,,,
150,k03mB41vyM,https://openreview.net/forum?id=k03mB41vyM,ICLR.cc/2025/Conference/Submission5985/Reviewer_anYP,anYP,,,,,,,,,,,
