paper_id,title,abstract,authors,authorids,keywords,primary_area,venue,year,pdf_url,forum_url
oO6FsMyDBt,Graph Neural Networks for Learning Equivariant Representations of Neural Networks,"Neural networks that process the parameters of other neural networks find applications in domains as diverse as classifying implicit neural representations, generating neural network weights, and predicting generalization errors. However, existing approaches either overlook the inherent permutation symmetry in the neural network or rely on intricate weight-sharing patterns to achieve equivariance, while ignoring the impact of the network architecture itself. In this work, we propose to represent neural networks as computational graphs of parameters, which allows us to harness powerful graph neural networks and transformers that preserve permutation symmetry. Consequently, our approach enables a single model to encode neural computational graphs with diverse architectures. We showcase the effectiveness of our method on a wide range of tasks, including classification and editing of implicit neural representations, predicting generalization performance, and learning to optimize, while consistently outperforming state-of-the-art methods. The source code is open-sourced at https://github.com/mkofinas/neural-graphs.","Miltiadis Kofinas, Boris Knyazev, Yan Zhang, Yunlu Chen, Gertjan J. Burghouts, Efstratios Gavves, Cees G. M. Snoek, David W. Zhang","~Miltiadis_Kofinas2, ~Boris_Knyazev1, ~Yan_Zhang1, ~Yunlu_Chen1, ~Gertjan_J._Burghouts1, ~Efstratios_Gavves1, ~Cees_G._M._Snoek1, ~David_W._Zhang1","Deep weight space, Graph neural networks, Transformers, Permutation equivariance, Implicit neural representations, Networks for networks, Neural graphs",learning on graphs and other geometries & topologies,ICLR 2024 oral,2024,https://openreview.net/pdf?id=oO6FsMyDBt,https://openreview.net/forum?id=oO6FsMyDBt
5j6wtOO6Fk,Hieros: Hierarchical Imagination on Structured State Space Sequence World Models,"One of the biggest challenges to modern deep reinforcement learning (DRL) algorithms is sample efficiency. Many approaches learn a world model in order to train an agent entirely in imagination, eliminating the need for direct environment interaction during training. However, these methods often suffer from either a lack of imagination accuracy, exploration capabilities, or runtime efficiency. We propose HIEROS, a hierarchical policy that learns time abstracted world representations and imagines trajectories at multiple time scales in latent space. HIEROS uses an S5 layer-based world model, which predicts next world states in parallel during training and iteratively during environment interaction. Due to the special properties of S5 layers, our method can train in parallel and predict next world states iteratively during imagination. This allows for more efficient training than RNN-based world models and more efficient imagination than Transformer-based world models. We show that our approach outperforms the state of the art in terms of mean and median normalized human score on the Atari 100k benchmark, and that our proposed world model is able to predict complex dynamics very accurately. We also show that HIEROS displays superior exploration capabilities compared to existing approaches.","Paul Mattes, Rainer Schlosser, Ralf Herbrich","~Paul_Mattes1, ~Rainer_Schlosser1, ~Ralf_Herbrich1","Reinforcement Learning, Hierarchical Models, Deep Learning, Structured State Space Model",reinforcement learning,Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=5j6wtOO6Fk,https://openreview.net/forum?id=5j6wtOO6Fk
8ishA3LxN8,Finite Scalar Quantization: VQ-VAE Made Simple,"We propose to replace vector quantization (VQ) in the latent representation of VQ-VAEs
with a simple scheme termed finite scalar quantization (FSQ), where we project the VAE representation down to a few dimensions (typically less than 10).
Each dimension is quantized to a small set of fixed values, leading to an (implicit) codebook given by the product of these sets.
By appropriately choosing the number of dimensions and values each dimension can take, we obtain the same codebook size as in VQ.
On top of such discrete representations,
we can train the same models that have been trained on VQ-VAE representations. For example, autoregressive and masked transformer models for image generation, multimodal generation, and dense prediction computer vision tasks.
Concretely, we employ FSQ with MaskGIT for image generation, and with UViM for depth estimation, colorization, and panoptic segmentation.
Despite the much simpler design of FSQ, we obtain competitive performance in all these tasks.
We emphasize that FSQ does not suffer from codebook collapse and does not need the complex machinery employed in VQ (commitment losses, codebook reseeding, code splitting, entropy penalties, etc.) to learn expressive discrete representations.","Fabian Mentzer, David Minnen, Eirikur Agustsson, Michael Tschannen","~Fabian_Mentzer2, ~David_Minnen1, ~Eirikur_Agustsson1, ~Michael_Tschannen1","representation learning, vector quantization, quantization","unsupervised, self-supervised, semi-supervised, and supervised representation learning",ICLR 2024 poster,2024,https://openreview.net/pdf?id=8ishA3LxN8,https://openreview.net/forum?id=8ishA3LxN8
3y2TfP966N,T-Rep: Representation Learning for Time Series using Time-Embeddings,"Multivariate time series present challenges to standard machine learning techniques, as they are often unlabeled, high dimensional, noisy, and contain missing data. To address this, we propose T-Rep, a self-supervised method to learn time series representations at a timestep granularity. T-Rep learns vector embeddings of time alongside its feature extractor, to extract temporal features such as trend, periodicity, or distribution shifts from the signal. These time-embeddings are leveraged in pretext tasks, to incorporate smooth and fine-grained temporal dependencies in the representations, as well as reinforce robustness to missing data. We evaluate T-Rep on downstream classification, forecasting, and anomaly detection tasks. It is compared to existing self-supervised algorithms for time series, which it outperforms in all three tasks. We test T-Rep in missing data regimes, where it proves more resilient than its counterparts. Finally, we provide latent space visualisation experiments, highlighting the interpretability of the learned representations.","Archibald Felix Fraikin, Adrien Bennetot, Stephanie Allassonniere","~Archibald_Felix_Fraikin1, ~Adrien_Bennetot1, ~Stephanie_Allassonniere1","Multivariate time series, Self-supervised, Time series representations, Temporal features, Time-Embeddings, Representation Learning, Missing data","unsupervised, self-supervised, semi-supervised, and supervised representation learning",ICLR 2024 poster,2024,https://openreview.net/pdf?id=3y2TfP966N,https://openreview.net/forum?id=3y2TfP966N
3pWSL8My6B,Where We Have Arrived in Proving the Emergence of Sparse Interaction Primitives in DNNs,"This study aims to prove the emergence of symbolic concepts (or more precisely, sparse primitive inference patterns) in well-trained deep neural networks (DNNs). Specifically, we prove the following three conditions for the emergence. (i) The high-order derivatives of the network output with respect to the input variables are all zero. (ii) The DNN can be used on occluded samples, and when the input sample is less occluded, the DNN will yield higher confidence. (iii) The confidence of the DNN does not significantly degrade on occluded samples. These conditions are quite common, and we prove that under these conditions, the DNN will only encode a relatively small number of sparse interactions between input variables. Moreover, we can consider such interactions as symbolic primitive inference patterns encoded by a DNN, because we show that inference scores of the DNN on an exponentially large number of randomly masked samples can always be well mimicked by numerical effects of just a few interactions.","Qihan Ren, Jiayang Gao, Wen Shen, Quanshi Zhang","~Qihan_Ren1, ~Jiayang_Gao1, ~Wen_Shen3, ~Quanshi_Zhang1","Explainable AI, Neural networks, Symbolism",visualization or interpretation of learned representations,ICLR 2024 poster,2024,https://openreview.net/pdf?id=3pWSL8My6B,https://openreview.net/forum?id=3pWSL8My6B
yR5QbFv4Xb,Towards Faithful Neural Network Intrinsic Interpretation with Shapley Additive Self-Attribution,"Self-interpreting neural networks have garnered significant interest in research. Existing works in this domain often (1) lack a solid theoretical foundation ensuring genuine interpretability or (2) compromise model expressiveness. In response, we formulate a generic Additive Self-Attribution (ASA) framework. Observing the absence of Shapley value in Additive Self-Attribution, we propose Shapley Additive Self-Attributing Neural Network (SASANet), with theoretical guarantees for the self-attribution value equal to the output's Shapley values. Specifically, SASANet uses a marginal contribution-based sequential schema and internal distillation-based training strategies to model meaningful outputs for any number of features, resulting in un-approximated meaningful value function. Our experimental results indicate SASANet surpasses existing self-attributing models in performance and rivals black-box models. Moreover, SASANet is shown more precise and efficient than post-hoc methods in interpreting its own predictions.","Ying Sun, Hengshu Zhu, Hui Xiong","~Ying_Sun4, ~Hengshu_Zhu1, ~Hui_Xiong1","interpretability, neural networks, additive attribution, Shapley value","general machine learning (i.e., none of the above)",Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=yR5QbFv4Xb,https://openreview.net/forum?id=yR5QbFv4Xb
PqGPjts7Ug,Probabilistic Neural Transfer Function Estimation with Bayesian System Identification,"Neural population responses in sensory systems are driven by external physical stimuli. This stimulus-response relationship is typically characterized by receptive fields, which have been estimated by neural system identification approaches. Such models usually requires a large amount of training data, yet, the recording time for animal experiments is limited, giving rise to epistemic uncertainty for the learned neural transfer functions. While deep neural network models have demonstrated excellent power on neural prediction, they usually do not provide the uncertainty of the resulting neural representations and derived statistics, such as the stimuli driving neurons optimally, from in silico experiments. Here, we present a Bayesian system identification approach to predict neural responses to visual stimuli, and explore whether explicitly modeling network weight variability can be beneficial for identifying neural response properties. To this end, we use variational inference to estimate the posterior distribution of each model weight given the training data. Tests with different neural datasets demonstrate that this method can achieve higher or comparable performance on neural prediction, with a much higher data efficiency compared to Monte Carlo dropout methods and traditional models using point estimates of the model parameters. At the same time, our variational method allows to estimate the uncertainty of stimulus-response function, which we have found to be negatively correlated with the predictive performance and may serve to evaluate models. Furthermore, our approach enables to identify response properties with credible intervals and perform statistical test for the learned neural features, which avoid the idiosyncrasy of a single model. Finally, in silico experiments show that our model generates stimuli driving neuronal activity significantly better than traditional models, particularly in the limited-data regime.","Nan Wu, Isabel Valera, Fabian H. Sinz, Alexander S Ecker, Thomas Euler, Yongrong Qiu","~Nan_Wu4, ~Isabel_Valera1, ~Fabian_H._Sinz1, ~Alexander_S_Ecker1, ~Thomas_Euler1, ~Yongrong_Qiu1","neural system identification, Bayes, neuron, vision, receptive field, neural prediction, uncertainty, most exciting input, variational inference, stimulus-response function",applications to neuroscience & cognitive science,ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=PqGPjts7Ug,https://openreview.net/forum?id=PqGPjts7Ug
13D1zn0mpd,Effective and Parameter-Efficient Reusing Fine-Tuned Models,"Many pre-trained large-scale models provided online have become highly effective in transferring to downstream tasks. At the same time, various task-specific models fine-tuned on these pre-trained models are available online for public use. In practice, collecting task-specific data is labor-intensive and fine-tuning the large pre-trained models is computationally expensive, one can reuse task-specific fine-tuned models to deal with downstream tasks. However, using a model per task causes a heavy burden on storage and serving. Recently, many training-free and parameter-efficient methods have been proposed for merging multiple fine-tuned task-specific models into a single multi-task model. However, these methods exhibit a large accuracy gap compared with using a fine-tuned model per task. In this paper, we propose parameter-efficient methods for Reusing fine-tuned models. For reusing fully fine-tuned models, we inject sparse task vectors to a merged model by magnitude pruning. For reusing LoRA fine-tuned models, we use a lower-rank matrix to approximate the LoRA matrix by singular value decomposition. Extensive experiments conducted on computer vision and natural language process tasks demonstrate the effectiveness and parameter-efficiency of the proposed methods. The proposed methods outperform existing merging models method by a large margin and achieve comparable performance to using a fine-tuned model per task.","Weisen Jiang, Baijiong Lin, Han Shi, Yu Zhang, Zhenguo Li, James Kwok","~Weisen_Jiang1, ~Baijiong_Lin1, ~Han_Shi1, ~Yu_Zhang3, ~Zhenguo_Li1, ~James_Kwok1","merging models, fine-tune models","general machine learning (i.e., none of the above)",ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=13D1zn0mpd,https://openreview.net/forum?id=13D1zn0mpd
pJ55L21Tay,Two subspace clustering methods with prior masks,"To further utilize the unsupervised features and pairwise information, we propose an embedding method to joint two clustering methods, and an unified Bilevel Clustering Optimization (BCO) framework to improve the clustering performance. At first, we reformulate the original subspace clustering as a Basic Masked Subspace Clustering (BMSC), which reformulate the diagonal constraints to a hard mask. Then, we provide a General Masked Subspace Clustering (GMSC) method to integrate different clustering via a soft mask. Furthermore, based on BCO and GMSC, we induce a learnable soft mask and design a Recursive Masked Subspace Clustering (RMSC) method that can alternately update the affinity matrix and the soft mask. Numerical experiments show that our models obtain significant improvement compared with the baselines on several commonly used datasets, such as MNIST, USPS, ORL, COIL20 and COIL100.",Jiebo Song,~Jiebo_Song1,"subspace clustering, prior mask, bilevel clustering","unsupervised, self-supervised, semi-supervised, and supervised representation learning",ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=pJ55L21Tay,https://openreview.net/forum?id=pJ55L21Tay
1EyS6udrLa,Towards Bringing Advanced Restoration Networks into Self-Supervised Image Denoising,"Self-supervised image denoising (SSID) has witnessed significant progress in recent years. Therein, most methods focus on exploring blind-spot techniques while only employing a simple network architecture (\eg, plain CNN or U-Net) as a denoising backbone. However, with the ongoing advancements in image restoration networks, these architectures have become somewhat outdated. In this work, we aim to migrate the advanced restoration network designs (\eg, SwinIR, Restormer, NAFNet, and HAT) into SSID methods. We begin by conducting an analysis of the fundamental concepts in existing typical blind-spot networks (BSN). Subsequently, we introduce a series of approaches to adapt restoration networks into various blind-spot ones. In particular, we suggest effective adjustment for window attention to mimic the convolution layers in BSN. And we discourage the adoption of channel attention, as it can potentially lead to the leakage of blind-spot information, consequently impeding performance. Experiments on both synthetic and real-world RGB noisy images demonstrate our methods substantially enhance SSID performance. Furthermore, we hope this study could enable SIDD methods to keep pace with the progress in restoration networks, and serve as benchmarks for future works. The code and pre-trained models will be publicly available.","Junyi Li, Zhilu Zhang, Dongsheng Jiang, XIAOPENG ZHANG, Wangmeng Zuo, Qi Tian","~Junyi_Li5, ~Zhilu_Zhang2, ~Dongsheng_Jiang2, ~XIAOPENG_ZHANG7, ~Wangmeng_Zuo3, ~Qi_Tian3",Self-Supervised Denoising; Restoration Networks,"representation learning for computer vision, audio, language, and other modalities",ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=1EyS6udrLa,https://openreview.net/forum?id=1EyS6udrLa
GrunXMbdXY,FLAT-Chat: A Word Recovery Attack on Federated Language Model Training,"Gradient exchange is widely applied in collaborative training of machine learning models, including Federated Learning. Curious-but-honest participants could potentially infer the output labels in recently used training data by analyzing the latest gradient updates. Previous works mostly demonstrate the attack performance under constraint training settings, such as dozens of short sentences in a batch and a small output space for labels. In this work, we propose a novel gradient flattening attack on the last linear layer of a language model, which significantly improves the attacker's efficiency in inferring the words used in training. We validate the capability of the attack on two language generation tasks: machine translation and language modeling. The attack environment is scaled up to industrial settings of a large output vocabulary and realistic training batch sizes. To mitigate the negative impact of the new attack, we explore two defense methods and demonstrate that adding differential privacy with small noise could effectively defend against our new attack without degrading model utility.","Qiongkai Xu, Jun Wang, Olga Ohrimenko, Trevor Cohn","~Qiongkai_Xu1, ~Jun_Wang29, ~Olga_Ohrimenko1, ~Trevor_Cohn1","Label inference attack, Large-scale language model, Matrix flattening","societal considerations including fairness, safety, privacy",Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=GrunXMbdXY,https://openreview.net/forum?id=GrunXMbdXY
R3Tf7LDdX4,Memory-Consistent Neural Networks for Imitation Learning,"Imitation learning considerably simplifies policy synthesis compared to alternative approaches by exploiting access to expert demonstrations. For such imitation policies, errors away from the training samples are particularly critical. Even rare slip-ups in the policy action outputs can compound quickly over time, since they lead to unfamiliar future states where the policy is still more likely to err, eventually causing task failures. We revisit simple supervised ""behavior cloning"" for conveniently training the policy from nothing more than pre-recorded demonstrations, but carefully design the model class to counter the compounding error phenomenon. Our ""memory-consistent neural network"" (MCNN) outputs are hard-constrained to stay within clearly specified permissible regions anchored to prototypical ""memory"" training samples. We provide a guaranteed upper bound for the sub-optimality gap induced by MCNN policies. Using MCNNs on 10 imitation learning tasks, with MLP, Transformer, and Diffusion backbones, spanning dexterous robotic manipulation and driving, proprioceptive inputs and visual inputs, and varying sizes and types of demonstration data, we find large and consistent gains in performance, validating that MCNNs are better-suited than vanilla deep neural networks for imitation learning applications. Website: https://sites.google.com/view/mcnn-imitation","Kaustubh Sridhar, Souradeep Dutta, Dinesh Jayaraman, James Weimer, Insup Lee","~Kaustubh_Sridhar1, ~Souradeep_Dutta2, ~Dinesh_Jayaraman2, ~James_Weimer1, ~Insup_Lee1","Imitation Learning, Behavior Cloning, Deep Learning",reinforcement learning,ICLR 2024 poster,2024,https://openreview.net/pdf?id=R3Tf7LDdX4,https://openreview.net/forum?id=R3Tf7LDdX4
ykhRO1mAg3,FPTQ: FINE-GRAINED POST-TRAINING QUANTIZATION FOR LARGE LANGUAGE MODELS,"In the era of large-scale language models, the substantial parameter size poses significant challenges for deployment. Being a prevalent compression technique, quantization has emerged as the mainstream practice to tackle this issue, which is mainly centered on two recipes W8A8 and W4A16 (i.e. weights and activations in such bit widths). In this study, we propose a novel W4A8 post-training quantization method for the available open-sourced LLMs, which combines the advantages of both two recipes. Therefore, we can leverage the benefit in the I/O utilization of 4-bit weight quantization and the acceleration due to 8-bit matrix computation. Nevertheless, the W4A8 faces notorious performance degradation. As a remedy, we involve layerwise activation quantization strategies which feature a novel logarithmic equalization for most intractable layers, and we combine them with fine-grained weight quantization. Without whistles and bells, we eliminate the necessity for further fine-tuning and obtain the state-of-the-art W4A8 quantized performance on BLOOM, LLaMA, and LLaMA-2 on standard benchmarks. We confirm that the W4A8 quantization is achievable for the deployment of large language models, fostering their wide-spreading real-world applications.","QINGYUAN LI, Yifan Zhang, Liang Li, Bo Zhang","~QINGYUAN_LI3, ~Yifan_Zhang14, ~Liang_Li10, ~Bo_Zhang7","LLMs, quantization","general machine learning (i.e., none of the above)",Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=ykhRO1mAg3,https://openreview.net/forum?id=ykhRO1mAg3
n9CqhWGK4o,Cellular Interplay in COVID-19: Insights from Graph Neural Networks with Multidimensional Edge Features,"The COVID-19 has emerged as a global pandemic, posing a significant public health threat with its widespread infection and the potential for severe respiratory complications. Among the various methodologies employed, single-cell omics-based studies have been at the forefront, concentrating on “intra”-cellular properties exhibited by gene expression. However, given its infectious nature, complex biological processes, such as immune responses performed between immune cells, infected cells, etc., necessitate a deeper analysis on “inter”-cellular properties exhibited by cell-cell interaction scores calculated using ligand and receptor expression information. The differences in these interactions in addition to gene expression between severe and non-severe cases could be pivotal in understanding the disease’s onset and progression, including mechanism leading to disease severity. Since the structure representing the overall nature of immune response can be implemented by directed graph with cell types as nodes and their interactions as edges, we employed a Graph Neural Network (GNN) model architecture accommodating multi-dimensional edge features, one of the first applications in biological context. In this study, our model incorporates edge features of cell-cell interaction scores, and node features of transcriptional factors and their target genes, which are “intra”-cellular features affected in the downstream by “inter”-cellular features. By leveraging the power of GNNs and the innovative use of multiple edge features, our model offers a groundbreaking perspective on the biological complexity of COVID-19, holding promise for the development of more effective treatments and preventive measures.","Kyeonghun Jeong, Yooeun Kim, Kwangsoo Kim","~Kyeonghun_Jeong1, ~Yooeun_Kim1, ~Kwangsoo_Kim1","Graph neural network, Classification, Biological application, Single cell RNA-seq, Cell-Cell Interaction","applications to physical sciences (physics, chemistry, biology, etc.)",Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=n9CqhWGK4o,https://openreview.net/forum?id=n9CqhWGK4o
i8PjQT3Uig,Locality Sensitive Sparse Encoding for Learning World Models Online,"Acquiring an accurate world model $\textit{online}$ for model-based reinforcement learning (MBRL) is challenging due to data nonstationarity, which typically causes catastrophic forgetting for neural networks (NNs). From the online learning perspective, a Follow-The-Leader (FTL) world model is desirable, which optimally fits all previous experiences at each round. Unfortunately, NN-based models need re-training on all accumulated data at every interaction step to achieve FTL, which is computationally expensive for lifelong agents. In this paper, we revisit models that can achieve FTL with incremental updates. Specifically, our world model is a linear regression model supported by nonlinear random features. The linear part ensures efficient FTL update while the nonlinear random feature empowers the fitting of complex environments. To best trade off model capacity and computation efficiency, we introduce a locality sensitive sparse encoding, which allows us to conduct efficient sparse updates even with very high dimensional nonlinear features. We validate the representation power of our encoding and verify that it allows efficient online learning under data covariate shift. We also show, in the Dyna MBRL setting, that our world models learned online using a $\textit{single pass}$ of trajectory data either surpass or match the performance of deep world models trained with replay and other continual learning methods.","Zichen Liu, Chao Du, Wee Sun Lee, Min Lin","~Zichen_Liu1, ~Chao_Du1, ~Wee_Sun_Lee1, ~Min_Lin1","model-based rl, online learning, incremental learning, catastrophic forgetting",reinforcement learning,ICLR 2024 poster,2024,https://openreview.net/pdf?id=i8PjQT3Uig,https://openreview.net/forum?id=i8PjQT3Uig
cLIvvqf3Wk,Attribute-Guided Diffusion for Unsupervised Few-Shot Font Generation,"Font generation is a challenging problem, especially for some writing systems composed of a large number of characters, such as Chinese, which has attracted the attention of many scholars in recent years. However, existing font generation methods are usually based on generative adversarial networks. Due to the problems of training instability and mode collapse in generative adversarial networks, the performance of many methods has encountered bottlenecks. In order to solve this problem, we apply the latest generative model — the diffusion model to this task. We use the method of decoupling content and style to extract image attributes, combine the required content and style with the input diffusion model as a condition, and then guide diffusion models to generate glyphs corresponding to styles. Our method can be stably trained on large datasets and our model achieves pretty good performance both qualitatively and quantitatively compared with previous font generation methods.","Yan He, Xiang Xiang","~Yan_He1, ~Xiang_Xiang1",Diffusion Models; Font Generation,generative models,ICLR 2024 Conference Withdrawn Submission,2024,https://openreview.net/pdf?id=cLIvvqf3Wk,https://openreview.net/forum?id=cLIvvqf3Wk
UMfcdRIotC,Faithful Explanations of Black-box NLP Models Using LLM-generated Counterfactuals,"Causal explanations of the predictions of NLP systems are essential to ensure safety and establish trust. Yet, existing methods often fall short of explaining model predictions effectively or efficiently and are often model-specific. In this paper, we address model-agnostic explanations, proposing two approaches for counterfactual (CF) approximation. The first approach is CF generation, where a large language model (LLM) is prompted to change a specific text concept while keeping confounding concepts unchanged. While this approach is demonstrated to be very effective, applying LLM at inference-time is costly. We hence present a second approach based on matching, and propose a method that is guided by an LLM at training-time and learns a dedicated embedding space. This space is faithful to a given causal graph and effectively serves to identify matches that approximate CFs. After showing theoretically that approximating CFs is required in order to construct faithful explanations, we benchmark our approaches and explain several models, including LLMs with billions of parameters. Our empirical results demonstrate the excellent performance of CF generation models as model-agnostic explainers. Moreover, our matching approach, which requires far less test-time resources, also provides effective explanations, surpassing many baselines. We also find that Top-K techniques universally improve every tested method. Finally, we showcase the potential of LLMs in constructing new benchmarks for model explanation and subsequently validate our conclusions. Our work illuminates new pathways for efficient and accurate approaches to interpreting NLP systems.","Yair Ori Gat, Nitay Calderon, Amir Feder, Alexander Chapanin, Amit Sharma, Roi Reichart","~Yair_Ori_Gat1, ~Nitay_Calderon1, ~Amir_Feder1, ~Alexander_Chapanin1, ~Amit_Sharma3, ~Roi_Reichart1","NLP, LLMs, Interpretability, Explanation, Causal Inference, Matching",visualization or interpretation of learned representations,ICLR 2024 poster,2024,https://openreview.net/pdf?id=UMfcdRIotC,https://openreview.net/forum?id=UMfcdRIotC
TgeVptDYAt,Towards Causal Foundation Model: on Duality between Causal Inference and Attention,"Foundation models have brought changes to the landscape of machine learning, demonstrating sparks of human-level intelligence across a diverse array of tasks. However, a gap persists in complex tasks such as causal inference, primarily due to challenges associated with intricate reasoning steps and high numerical precision requirements. In this work, we take a first step towards building causally-aware foundation models for complex tasks. We propose a novel, theoretically sound method called Causal Inference with Attention (CInA), which utilizes multiple unlabeled datasets to perform self-supervised causal learning, and subsequently enables zero-shot causal inference on unseen tasks with new data. This is based on our theoretical results that demonstrate the primal-dual connection between optimal covariate balancing and self-attention, facilitating zero-shot causal inference through the final layer of a trained transformer-type architecture. We demonstrate empirically that our approach CInA effectively generalizes to out-of-distribution datasets and various real-world datasets, matching or even surpassing traditional per-dataset causal inference methodologies.","Jiaqi Zhang, Joel Jennings, Cheng Zhang, Chao Ma","~Jiaqi_Zhang2, ~Joel_Jennings1, ~Cheng_Zhang1, ~Chao_Ma2","foundation model, causal inference, zero-shot learning, attention",causal reasoning,Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=TgeVptDYAt,https://openreview.net/forum?id=TgeVptDYAt
ff5srKUefm,Entropy Voting Between Capsules,"Capsule networks offer a promising solution in computer vision by addressing the limitations of convolutional neural networks (CNNs), such as data dependency and viewpoint challenges. Unlike CNNs, capsules reduce the need for data augmentation by enhancing generalization from limited training data. We explore capsules from the perspective of information theory, viewing them as Monte Carlo sampled continuous random variables. We use marginal differential entropy to measure the information content of capsules, and relative entropy to model the agreement between lower-level and higher-level capsules. The proposed entropy voting method aims to maximize capsule marginal entropies and to minimize their relative entropy. We show that our approach performs better or comparably against state-of-the-art capsule networks while significantly improving inference time. This research highlights the synergy between capsules and information theory, providing insights into their combined potential.","Miika Kolu, Peer Stelldinger, Hashem Haghbayan, Juha Plosila","~Miika_Kolu1, ~Peer_Stelldinger1, ~Hashem_Haghbayan1, ~Juha_Plosila1","capsule networks, information theory, computer vision, deep learning","representation learning for computer vision, audio, language, and other modalities",Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=ff5srKUefm,https://openreview.net/forum?id=ff5srKUefm
HodMKbJkl3,SGD batch saturation for training wide neural networks,"The performance of the mini-batch stochastic gradient method strongly depends on the batch-size that is used. In the classical convex setting with interpolation, prior work showed that increasing the batch size linearly increases the convergence speed, but only up to a point; when the batch size is larger than a certain threshold (the critical batchsize), further increasing the batch size only leads to negligible improvement. 
The goal of this work is to investigate the relationship between the batchsize and convergence speed for a broader class of nonconvex problems. Building on recent improved convergence guarantees for SGD, we prove that a similar linear scaling and batch-size saturation phenomenon occurs for training  sufficiently wide neural networks. We conduct a number of numerical experiments on benchmark datasets, which corroborate our findings.","Chaoyue Liu, Dmitriy Drusvyatskiy, Mikhail Belkin, Damek Davis, Yian Ma","~Chaoyue_Liu2, ~Dmitriy_Drusvyatskiy3, ~Mikhail_Belkin1, ~Damek_Davis1, ~Yian_Ma1","mini-batch SGD, batch size, Polyak-Lojasiewicz, PL condition, convergence",optimization,Submitted to ICLR 2024,2024,https://openreview.net/pdf?id=HodMKbJkl3,https://openreview.net/forum?id=HodMKbJkl3
Bo6GpQ3B9a,Out-Of-Domain Unlabeled Data Improves Generalization,"We propose a novel framework for incorporating unlabeled data into semi-supervised classification problems, where scenarios involving the minimization of either i) adversarially robust or ii) non-robust loss functions have been considered. Notably, we allow the unlabeled samples to deviate slightly (in total variation sense) from the in-domain distribution. The core idea behind our framework is to combine Distributionally Robust Optimization (DRO) with self-supervised training. As a result, we also leverage efficient polynomial-time algorithms for the training stage. From a theoretical standpoint, we apply our framework on the classification problem of a mixture of two Gaussians in $\mathbb{R}^d$, where in addition to the $m$ independent and labeled samples from the true distribution, a set of $n$ (usually with $n\gg m$) out of domain and unlabeled samples are gievn as well. Using only the labeled data, it is known that the generalization error can be bounded by $\propto\left(d/m\right)^{1/2}$. However, using our method on both isotropic and non-isotropic Gaussian mixture models, one can derive a new set of analytically explicit and non-asymptotic bounds which show substantial improvement on the generalization error compared ERM. Our results underscore two significant insights: 1) out-of-domain samples, even when unlabeled, can be harnessed to narrow the generalization gap, provided that the true data distribution adheres to a form of the ""cluster assumption"", and 2) the semi-supervised learning paradigm can be regarded as a special case of our framework when there are no distributional shifts. We validate our claims through experiments conducted on a variety of synthetic and real-world datasets.","seyed amir hossein saberi, Amir Najafi, Alireza Heidari, Mohammad Hosein Movasaghinia, Abolfazl Motahari, Babak Khalaj","~seyed_amir_hossein_saberi1, ~Amir_Najafi1, ~Alireza_Heidari2, ~Mohammad_Hosein_Movasaghinia1, ~Abolfazl_Motahari1, ~Babak_Khalaj1","Out-of-domain data, Semi-supervised learing, learning theory, generalization bound, adversarial robustness",learning theory,ICLR 2024 spotlight,2024,https://openreview.net/pdf?id=Bo6GpQ3B9a,https://openreview.net/forum?id=Bo6GpQ3B9a
